FPKM.s_brain	FPKM.s_liver
3.040167	0
0	0
0.047282	0.125939
0.060962	0.106333
0.000506	0
0.000446	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.001702	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18.176426	76.567696
0	16.741285
0	6.423841
0	0
0	0
0	82.909027
0	10.165051
0	0
0	0
0	15.691582
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4.286102
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1.739618
446.683716	426.959686
46.833057	9.610974
0	0.6365
0	0
0	0
6.967076	6.313381
3.64456	0
0	0
0	0
0	0
0	0
0	0
9.120931	0
0	0
10.532937	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.440835	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
41.42971	6.699064
0	0
0	0
0	0
0	0
81.797348	9.425357
5.877039	0
7.938014	6.196758
0	3.930409
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10.37953	13.249845
60.740185	47.603382
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
43.61554	0
0	0
0	0
0.641773	0
0.546444	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
26.764027	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
27.54722	0
14.720963	0
0	0
0	1038.502441
0	4.372134
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.883103	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
47.500019	2.474523
2.311031	0
0	0
0	0
0	0
0	0
0	0
0	0
3.883218	0
0	0
0	0
0	4.236563
0	0
0	0
0	0
0	0
0	0
57.894611	30.861668
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9.752666	0
0	0
49.669933	4.244933
11661.417969	7434.625977
974.865723	531.760559
3607.355225	1992.078125
0	0
17.549824	12.432666
12.614333	5.116664
0	0
0	0
7.541282	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11.103156	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0.033357
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2.725476	0
0	0
0	0
0	0
0	0
0	0
0	0
4.363026	8.927581
16.589056	22.886526
35.758892	34.494797
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4.832549	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3.97507
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1.842827	0
4.207661	0
6.802656	0
0	0
0	0
0	0
0.00416	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
125.728554	0
0	0
0.518698	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10.270158	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.452036	0
10.701675	3.158226
1.570332	0
0	0
6.560314	2.926323
0.001567	0.008821
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
71.502213	0
0	0
0	0
0	0
0.070295	0
0	0
27.896145	0
9.50585	0
0	0
0	0
0	0
0	0
